
TRAINING A NEURAL NETWORK - Miguel Angel Ruiz Sànchez
Configuración:
- Épocas: 3
- Tamaño de lote: 100
- Tasa de aprendizaje: 1.0
- Tiempo de entrenamiento: 4.12 [seg]

Prueba #1: Predicción: 5, Esperado: 3, Correcto: No
Prueba #64: Predicción: 1, Esperado: 3, Correcto: No
Prueba #65: Predicción: 0, Esperado: 6, Correcto: No
Prueba #66: Predicción: 7, Esperado: 7, Correcto: Sí
Prueba #67: Predicción: 0, Esperado: 8, Correcto: No
Prueba #68: Predicción: 5, Esperado: 3, Correcto: No
Prueba #69: Predicción: 6, Esperado: 8, Correcto: No
Prueba #70: Predicción: 0, Esperado: 0, Correcto: Sí
Prueba #71: Predicción: 6, Esperado: 8, Correcto: No
Prueba #72: Predicción: 7, Esperado: 7, Correcto: Sí
Prueba #73: Predicción: 1, Esperado: 8, Correcto: No
Prueba #74: Predicción: 7, Esperado: 7, Correcto: Sí
Prueba #75: Predicción: 0, Esperado: 5, Correcto: No
Prueba #76: Predicción: 1, Esperado: 1, Correcto: Sí
Prueba #77: Predicción: 6, Esperado: 9, Correcto: No
Prueba #78: Predicción: 4, Esperado: 4, Correcto: Sí
Prueba #79: Predicción: 1, Esperado: 1, Correcto: Sí
Prueba #80: Predicción: 6, Esperado: 2, Correcto: No
Prueba #81: Predicción: 7, Esperado: 9, Correcto: No
Prueba #82: Predicción: 1, Esperado: 1, Correcto: Sí
Prueba #83: Predicción: 7, Esperado: 7, Correcto: Sí
Prueba #84: Predicción: 4, Esperado: 5, Correcto: No
Prueba #85: Predicción: 4, Esperado: 2, Correcto: No
Prueba #86: Predicción: 1, Esperado: 2, Correcto: No
Prueba #87: Predicción: 1, Esperado: 1, Correcto: Sí
Prueba #88: Predicción: 5, Esperado: 3, Correcto: No
Prueba #89: Predicción: 4, Esperado: 9, Correcto: No
Prueba #90: Predicción: 4, Esperado: 5, Correcto: No
Prueba #91: Predicción: 1, Esperado: 8, Correcto: No
Prueba #92: Predicción: 6, Esperado: 4, Correcto: No
Prueba #93: Predicción: 1, Esperado: 1, Correcto: Sí
Prueba #94: Predicción: 5, Esperado: 3, Correcto: No
Prueba #95: Predicción: 0, Esperado: 1, Correcto: No
Prueba #96: Predicción: 0, Esperado: 0, Correcto: Sí
Prueba #97: Predicción: 5, Esperado: 6, Correcto: No
Prueba #98: Predicción: 7, Esperado: 7, Correcto: Sí
Prueba #99: Predicción: 5, Esperado: 3, Correcto: No
Prueba #100: Predicción: 0, Esperado: 2, Correcto: No
_____________________________________________
RESULTADOS FINALES:
Total de imágenes probadas: 100
Predicciones correctas: 35
Precisión: 35.00%
Tiempo de entrenamiento: 4.12 [seg]
_____________________________________________
